# taxonomy 	CL01RT_taxonomic_profile	CL02RT_taxonomic_profile	CL03RT_taxonomic_profile	CL04RT_taxonomic_profile	CL06RT_taxonomic_profile	CL08RT_N_taxonomic_profile	CL09RT_taxonomic_profile	CL10RT_taxonomic_profile	CL11RT_taxonomic_profile	CL13RT_taxonomic_profile	CL14RT_taxonomic_profile	CL15RT_taxonomic_profile	CL16RT_taxonomic_profile	CL18RT_taxonomic_profile	CL19RT_taxonomic_profile	CL20RT_taxonomic_profile	CL22RT_taxonomic_profile	CL23RT_N_taxonomic_profile	CL24RT_taxonomic_profile	CL25RT_taxonomic_profile	CL26RT_taxonomic_profile	CL27RT_N_taxonomic_profile	CL28RT_N_taxonomic_profile	CL29RT_taxonomic_profile	CL30RT_taxonomic_profile	CL33RT_taxonomic_profile	CL35RT_taxonomic_profile	CL36RT_taxonomic_profile	CL38RT_taxonomic_profile	CL39RT_taxonomic_profile	CL40RT_taxonomic_profile	CL41RT_taxonomic_profile	CL42RT_taxonomic_profile	CL44RT_taxonomic_profile	CL45RT_taxonomic_profile	CL46RT_taxonomic_profile	CL47RT_taxonomic_profile	CL49RT_taxonomic_profile	CL50RT_taxonomic_profile	CL52RT_taxonomic_profile	CL53RT_taxonomic_profile	CL55RT_taxonomic_profile	CL56RT_taxonomic_profile	CL57RT_taxonomic_profile	CL58RT_taxonomic_profile	CL59RT_taxonomic_profile	CL60RT_taxonomic_profile	CL61RT_taxonomic_profile	CL62RT_taxonomic_profile	CL63RT_taxonomic_profile	CL64RT_taxonomic_profile	CL65RT_taxonomic_profile	CL67RT_taxonomic_profile	CL68RT_taxonomic_profile	CL69RT_taxonomic_profile	CL72RT_taxonomic_profile	CL74RT_taxonomic_profile	CL76RT_taxonomic_profile	CL77RT_taxonomic_profile	CL78RT_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae	0	0	0	0	0.02246	0	0.0311	0	0	0.0779	0	0	0	0.05354	0.19556	0	0	0.08452	0	0	0.05652	0	0.0614	0	0	0	0	0	0	0	0.33366	0	0	0	0	0	0	0.02358	0	0	0	0	0	0	0.05308	0	0	0	0	0	0.07805	0	0	0	0.04241	0	0	0	0	0.00814
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10958	0	0.09889	0	0.07958	0	0.02547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14721	0	0	0.03626	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	0.52332	0	0.08548	0.64124	6.33814	0.09832	0.10557	0	0.87838	0	0.05287	0.43436	0.3983	0.0577	0	0	1.78152	0	0.3582	0.03008	0.18904	0.60845	0.11383	0	0.03605	0	0	0	0.40785	0	0	0	0.88744	0	1.02447	0	0	0.19078	0.34114	0.05738	0	0	2.74393	0	0.01416	0.07089	0.24115	0	1.51534	0	0	0	0.10357	0	0.71112	0	0	0	0.11435	0.37119
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae	0.53347	0.55997	0.29284	1.16241	0.94367	0.87299	0.32893	0.59513	0.22036	0.4945	0.37698	0.10928	0.32467	0.33986	0.74142	0.71217	0.50516	0.71502	0.18751	0.2221	0.66137	0.42102	0.74495	0.42803	0.36666	0.24353	0.11878	0.31472	0.86649	0.54378	0.28869	0.1816	0.70521	0.7588	0.07197	0.29679	0.45467	0.52022	0.21442	0.16034	0.2458	0.27031	0.4875	0.3986	0.47856	0.37271	0.3971	0.25518	0.48923	0.61141	0.68331	0.54819	0.27732	0.12556	0.70674	0.37057	0.27408	0.38081	0.14205	0.65993
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Thermomonosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria	0	0	0	0.10027	0	0.21188	0	0	0	1.15539	0.28815	0.01818	0	0	0	0	0	0	0	0	0.15665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15008
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	0.18646	0	0	3.0275	0	0	0	0	0	0	0	0	0	0	0	0	0.37561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04253	0	0	0	0	0	0	0	0.07393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02307	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	2.39725	1.54816	0.04173	1.87663	1.67555	1.29046	1.51642	2.91894	0.63019	2.77791	2.16597	0.29227	1.50543	0.28792	2.20267	1.2746	3.24341	2.09941	0.9919	5.16446	2.31874	0.09315	2.26071	1.17487	2.24316	0.82704	1.29554	0.32751	1.15201	1.72147	1.03157	0.30408	1.20482	1.18662	0.27081	0.64255	2.95918	0.66745	1.87553	0.55416	1.97298	1.03873	0.13157	0.09634	0.75283	2.8389	2.87929	0.66984	1.5217	3.02836	1.35106	0.57369	1.24812	0.71331	0.2977	0.63831	0.30032	6.44561	1.17035	0.96454
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Alicyclobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	0.0265	0.00632	0.02143	0	0	0	0	0	0	0.04302	0	0	0	0	0	0	0	0	0	0.01439	0	0	0	0	0	0	0	0	0	0	0.01511	0	0	0	0.07967	0.02138	0	0	0	0	0	0	0.06731	0.24139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00916	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	7.15362	9.24899	3.56958	17.80077	7.49684	12.4061	7.86099	4.57688	3.2831	7.72584	5.84932	3.86203	5.2272	13.08008	7.45209	4.04611	12.04516	8.5892	4.21243	7.26824	8.6029	10.56103	11.21415	5.26876	13.47365	7.70869	3.12861	9.69471	10.00193	7.30719	7.4125	8.85868	8.42247	6.8396	3.54715	3.92084	7.2819	13.08314	9.33656	7.38395	9.16737	24.68414	21.21962	5.35488	8.97682	11.47002	10.00032	9.27258	16.888	11.84228	9.69749	15.51454	4.45411	4.4976	9.67117	8.0764	5.13627	8.40186	6.1218	13.04105
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Kouleothrix	0.80074	0.56075	0.09878	1.37148	0.40159	1.27689	0.21384	0.60635	0.39467	0.26686	0.40004	0.1213	0.24416	0.32805	0.88043	0.84827	0.36036	0.35463	0.1264	0.39225	0.59661	0.18372	0.63181	0.24915	0.35969	0.19577	0.06869	0.17257	0.36434	0.15011	0.46813	0.02635	0.46684	1.16045	0.19346	0.31095	0.51365	0.15254	0.2307	0.08598	0.1807	0.27567	0.34844	0.58896	0.40023	0.41598	0.54319	0.28221	0.17799	0.63465	0.59167	0.79728	0.27729	0.10196	0.41509	0.65521	0.41576	0.3094	0.17045	0.15725
